task_identifier,task_app,task_app_CHN,adb_home_page,functional_point,difficulty_level,golden_steps,goal,key_nodes
bili_0,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,搜索,easy,4,打开B站搜索喜羊羊与灰太狼,"{""xpath"": ['''//*[contains(@text, ""喜羊羊与灰太狼"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''' ]}"
bili_1,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,搜索,easy,4,打开B站搜索演员沈腾,"{""xpath"": ['''//*[contains(@text, ""沈腾"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''' ]}"
bili_2,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,搜索,easy,4,打开B站搜索王者荣耀官方赛事,"{""xpath"": ['''//*[contains(@text, ""王者荣耀"")  and contains(@text, ""赛事"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''' ]}"
bili_3,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,搜索,medium,5,打开B站搜索李健，看看图文栏下有哪些图片,"{""xpath"": ['''//*[contains(@text, ""李健"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")]   and   //*[contains(@text, ""图文"") and @selected=""true""] ''' ]}"
bili_4,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,搜索,easy,4,打开bilibili热搜榜单,"{""xpath"": ['''//*[contains(@text, ""B站热搜"")  and contains(@class, ""WebView"")] ''' ]}###{""xpath"": ['''//*[contains(@resource-id, ""container_entrance"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""完整榜单"") ])   and (preceding-sibling::*[contains(@text, ""热搜"") ])   ]   ''']}"
bili_5,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,消息,easy,4,打开B站查看回复我的消息,"{""xpath"": ['''//*[contains(@text, ""回复"")  and bbox_contains_point(../@bounds,$point)  ]  ''']}"
bili_6,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,消息,easy,4,打开B站消息查看收到的赞,"{""xpath"": ['''//*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""收到的赞"") ]  or child::*[contains(@text, ""收到喜欢"") ]  )   ] ''']}   "
bili_7,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,消息,medium,5,"打开B站消息,一键已读所有消息","{""xpath"": ['''//*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""清除"") ] ) ]  and  //*[contains(@text, ""一键已读"")] and //*[contains(@text, ""消息"")]    ''']}"
bili_8,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,直播,hard,6,打开一个英雄联盟的哔哩哔哩直播间,"{""xpath"": ['''//*[contains(@class, ""RelativeLayout"") and (child::*[contains(@text, ""英雄联盟"") and contains(@resource-id, ""subtitle"") ] ) ]   ''']} ###{""xpath"": ['''   //*[contains(@text, ""直播"") and contains(@resource-id, ""id/tab_title"") and @selected=""true""]   and  //*[contains(@class, ""LinearLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""英雄联盟"") and contains(@resource-id, ""id/name"") ] ) ]    ''' ]}###{""xpath"": ['''   //*[contains(@text, ""直播"") and contains(@resource-id, ""id/tab_title"") and @selected=""true""]   and //*[contains(@text, ""英雄联盟"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")]  and  //*[contains(@text, ""英雄联盟"") and contains(@resource-id, ""subtitle"")]    ''' ]}###{""xpath"": ['''   //*[contains(@text, ""英雄联盟"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")]     ''', '''   //*[ contains(@resource-id, ""id/live_send"") or contains(@resource-id, ""id/watched_like_switcher"")]     ''' ]}"
bili_9,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,热门,easy,4,查看B站热门的排行榜,"{""xpath"": ['''//*[contains(@text, ""排行榜"")] and //*[contains(@text, ""全站"")  and contains(@resource-id, ""tab_title"") ] and //*[contains(@text, ""番剧"")  and contains(@resource-id, ""tab_title"") ] ''' ]}"
bili_10,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,热门,easy,4,B站的每周必看有哪些,"{""xpath"": ['''//*[contains(@text, ""每周必看"")  and contains(@resource-id, ""id/title"")   ]''' ]}"
bili_11,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,动画,easy,4,打开哔哩哔哩的动画频道，看看有哪些少儿动画,"{""xpath"": ['''   //*[contains(@text, ""动画"") and contains(@resource-id, ""id/tab_title"") and @selected=""true""]   and  //*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""少儿"") ] ) ]    ''' ]}"
bili_12,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,动画,medium,6,我想在哔哩哔哩看一下牧神记第一集,"{""xpath"": ['''//*[contains(@content-desc, ""牧神记"") ] and //*[contains(@text, ""选集"") and contains(@resource-id, ""title"") ] and //*[contains(@text, ""第 1 话"") and contains(@resource-id, ""title"") ] ''']}"
bili_13,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,影视,medium,6,在B站打开西游记第二集,"{""xpath"": ['''(//*[contains(@content-desc, ""西游记"") ] or //*[contains(@text, ""西游记"") ]) and //*[contains(@text, ""选集"") and contains(@resource-id, ""title"") ] and //*[contains(@text, ""第 2 集"") and contains(@resource-id, ""title"") ] ''']}###{""xpath"": ['''//*[contains(@text, ""西游记"")] and //*[contains(@text, ""第二集"") and contains(@resource-id, ""id/title"") ]  ''']}"
bili_14,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,影视,easy,4,在B站的影视频道中，看看有什么好的纪录片,"{""xpath"": ['''   //*[contains(@text, ""影视"") and contains(@resource-id, ""id/tab_title"") and @selected=""true""]   and  //*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""纪录片"") ] ) ]    ''' ]}"
bili_15,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,频道,easy,4,打开B站分区，选择游戏频道,"{""xpath"": ['''//*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""游戏"") ]  )   ]  ''']}"
bili_16,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,关注,easy,4,查看B站我关注的人的动态,"{""xpath"": ['''//*[contains(@text, ""关注"")  and contains(@resource-id, ""id/title"")   ]''' ]}###{""xpath"": [''' //*[contains(@text, ""关注"")  and bbox_contains_point(../@bounds,$point)  ] ''', '''//*[contains(@text, ""关注"") and @selected=""true"" ]''' ]}"
bili_17,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,关注,easy,4,在哔哩哔哩，找到我关注的人的动态，并给里面的动态点赞,"{""xpath"": [''' //*[contains(@text, ""关注"")  and contains(@resource-id, ""id/title"")   ] and //*[contains(@resource-id, ""id/dy_card_like"") and bbox_contains_point(@bounds,$point)]''' ]}"
bili_18,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,会员购,medium,6,在B站会员购中搜索哆啦A梦,"{""xpath"": ['''//*[contains(@text, ""会员购"")   and contains(@resource-id, ""id/new_title_text"")   ]'''  , '''//*[(contains(@text, ""哆啦A梦"") or contains(@text, ""哆啦a梦""))  and contains(@class, ""EditText"")   ]''' ]}"
bili_19,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,会员购,hard,7,B站会员购查看我的待支付订单,"{""xpath"": ['''  //*[contains(@text, ""订单信息"") ]  and //*[contains(@text, ""待支付"") and @selected=""true""] ''' ]}"
bili_20,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,会员购,hard,6,打开B站会员购查看我的优惠券有哪些,"{""xpath"": ['''//*[contains(@text, ""我的优惠券"")  and contains(@class, ""WebView"")] ''' ]}###{""xpath"": ['''//*[contains(@text, ""优惠券"")  and contains(@resource-id, ""id/id_assets_name"")] ''' ]}"
bili_21,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,我的,hard,7,打开哔哩哔哩，帮我更换一个随机头像,"{""xpath"": ['''//*[contains(@text, ""更换头像"") and bbox_contains_point(@bounds,$point)] or //*[contains(@class, ""RelativeLayout"") and (child::*[contains(@text, ""头像"")]) and bbox_contains_point(@bounds,$point)]''',  '''//*[contains(@class, ""RelativeLayout"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""随机"") and contains(@resource-id, ""id/menu_text"")])]''']}"
bili_22,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,我的,easy,4,打开B站查看我的粉丝,"{""xpath"": ['''//*[contains(@text, ""我的好友"")  and contains(@resource-id, ""id/tv_toolbar_title"")   ] and  //*[contains(@text, ""粉丝"")]''' ,  '''//*[(contains(@resource-id, ""fans_layout"")  or contains(@text, ""粉丝"") )  and bbox_contains_point(@bounds,$point) ]''' ]} ###{""xpath"": ['''//*[contains(@text, ""我的好友"")  and contains(@resource-id, ""id/tv_toolbar_title"")   ] ''' ,  ''' //*[contains(@class, ""ViewGroup"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@resource-id, ""fans_dec"")  and contains(@text, ""粉丝"")])]  ''' ]} "
bili_23,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,我的,easy,4,看一下我最近在哔哩哔哩看什么了？,"{""xpath"": ['''//*[contains(@class, ""ViewGroup"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""历史记录"") and contains(@resource-id, ""id/title"")])]''']}"
bili_24,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,我的,easy,4,打开B站查看离线缓存,"{""xpath"": [''' //*[contains(@text, ""离线缓存"")   and (bbox_contains_point(../@bounds,$point) )] ''']} "
bili_25,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,我的,easy,4,我要联系B站客服,"{""xpath"": ['''//*[contains(@class, ""ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""联系客服"") and contains(@resource-id, ""id/title"")])]''']}###{""xpath"": ['''//*[contains(@class, ""EditText"")  and contains(@resource-id, ""id/text_input"")] and //*[contains(@text, ""客服"")]  ''' ]}"
bili_26,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,我的,easy,4,进入B站的创作中心,"{""xpath"": ['''//*[contains(@class, ""ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""创作中心"") and contains(@resource-id, ""id/title"")])]''']}"
bili_27,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,设置,hard,9,打开B站私信智能拦截,"{""xpath"": ['''//*[contains(@text, ""消息设置"")] and //*[contains(@text, ""消息提醒"")] and //*[contains(@text, ""私信智能拦截"")] ''']}###{""xpath"": ['''//*[contains(@text, ""私信智能拦截"")  and bbox_contains_point(../@bounds,$point)] ''' ]}"
bili_28,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,设置,hard,11,打开B站定时关闭,"{""xpath"": ['''//*[contains(@class, ""ViewGroup"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""定时关闭"") and contains(@resource-id, ""id/title"")])]''' , ''' //*[contains(@text, ""定时关闭"") ]  and //*[@checkable=""true"" and @checked=""true"" and (preceding-sibling::*[contains(@text, ""自定义"") or contains(@text, ""分钟"")])]''' ]} ###{""xpath"": ['''//*[contains(@class, ""LinearLayout"") and (child::*[@checkable=""true"" and @checked=""true""]) and (preceding-sibling::*[contains(@class, ""RelativeLayout"") and (child::*[contains(@text, ""自定义"") or contains(@text, ""分钟"")])  ])]''' ]} "
bili_29,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,我的,easy,4,打开B站扫一扫,"{""xpath"": ['''//*[contains(@text, ""扫描二维码"")  and contains(@resource-id, ""id/title_qr_code"")   ]''' ]}"
neteasemusic_0,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,easy,4,网易云搜索歌曲《唯一》,"{""xpath"": ['''//*[contains(@text, ""唯一"") ] and  //*[contains(@text, ""综合"") ] and //*[contains(@text, ""歌单"") ] and  //*[contains(@text, ""单曲"") ]''' ]}"
neteasemusic_1,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,medium,5,网易云搜索邓紫棋的歌单,"{""xpath"": ['''//*[contains(@text, ""邓紫棋"") ]   and //*[contains(@text, ""歌单"") ] ''' ]}"
neteasemusic_2,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,medium,5,网易云播放林俊杰的豆浆油条,"{""xpath"": ['''//*[contains(@text, ""豆浆油条"")  and contains(@resource-id, ""id/songName"") ]   and //*[contains(@text, ""林俊杰"")  and contains(@resource-id, ""id/authorName"")] ''' ]}"
neteasemusic_3,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,medium,5,网易云播放宝宝巴士的拔萝卜,"{""xpath"": ['''//*[contains(@text, ""拔萝卜"")  and contains(@resource-id, ""id/songName"") ]   and //*[contains(@text, ""宝宝巴士"")  and contains(@resource-id, ""id/authorName"")] ''' ]}"
neteasemusic_4,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,medium,5,网易云播放我是一个粉刷匠,"{""xpath"": ['''//*[contains(@text, ""我是一个粉刷匠"")  and contains(@resource-id, ""id/songName"") ]    ''' ]}"
neteasemusic_5,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,hard,6,网易云播放林肯公园的Numb，并查看评论,"{""xpath"": ['''//*[contains(@text, ""Numb"")  and contains(@resource-id, ""id/name"") ]   and //*[contains(@text, ""Linkin Park"")  and contains(@resource-id, ""id/author"")]  and //*[contains(@text, ""评论"") ]  ''' ]}###{""xpath"": [  ''' //*[contains(@content-desc, ""评论"") and bbox_contains_point(@bounds,$point) ] ''' ]}"
neteasemusic_6,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,hard,6,网易云播放孤勇者，并展示歌词,"{""xpath"": ['''//*[contains(@text, ""孤勇者"")  and contains(@resource-id, ""id/custom_title"") ]   and   //*[contains(@text, ""歌词"") and @selected=""true""] ''' ]}"
neteasemusic_7,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,medium,5,网易云查查包含七里香的歌单有哪些,"{""xpath"": ['''//*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""歌单"") ] ) ]  and //*[contains(@text, ""七里香"") ]  ''']}"
neteasemusic_8,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,hard,6,在网易云里找到歌手周杰伦的个人主页并关注他,"{""xpath"": ['''//*[contains(@text, ""周杰伦"")  and contains(@resource-id, ""id/nickname"") ]   and //*[contains(@text, ""已关注"")  and contains(@resource-id, ""id/followBtn"")]  ''' ]}###{""xpath"": ['''//*[contains(@text, ""周杰伦"") ]   and //*[contains(@text, ""粉丝"") ] and //*[contains(@text, ""歌曲"") ]   and //*[contains(@text, ""乐迷团"") ]  ''' ]}"
neteasemusic_9,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,easy,4,在网易云查看我的历史播放列表,"{""xpath"": [''' //*[contains(@text, ""当前播放"") and @selected=""true""]   and   //*[contains(@text, ""历史播放"") and @selected=""true""] ''' ]}###{""xpath"": ['''  //*[contains(@text, ""最近播放"") and @selected=""true""] ''' ]}"
neteasemusic_10,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,频道,easy,4,打开网易云推荐扫一扫,"{""xpath"": ['''//*[contains(@text, ""我的二维码"")  and contains(@resource-id, ""id/myBarcode"")   ]''' ]}###{""xpath"": ['''//*[contains(@text, ""Scan QR"") ]   and //*[contains(@text, ""ALBUM"") ] ''' ]}"
neteasemusic_11,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,频道,easy,4,网易云查看为我推荐的专属博客,"{""xpath"": ['''//*[contains(@text, ""播客"") and @selected=""true""]   and   //*[contains(@text, ""推荐的专属播客"") ] ''' ]}"
neteasemusic_12,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,频道,easy,4,打开网易云的"网络热歌榜","{""xpath"": ['''//*[contains(@text, ""网络热歌榜"") and contains(@resource-id, ""id/musicTitle"") ] and //*[contains(@text, ""网易云音乐"") and contains(@resource-id, ""id/musicCreatorName"")] ''' ]}"
neteasemusic_13,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,频道,medium,5,打开网易云的有声书排行榜,"{""xpath"": ['''//*[contains(@class, ""view.ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""排行榜"") ] ) ]  and //*[contains(@text, ""听书"") and @selected=""true""]  ''']}###{""xpath"": [''' //*[contains(@text, ""全部"")] and //*[contains(@text, ""总榜"")] and //*[contains(@text, ""广播剧"")]  ''']}"
neteasemusic_14,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,频道,easy,4,打开网易云频道里的国风频道,"{""xpath"": ['''//*[contains(@text, ""音乐"") and @selected=""true""]   and   //*[contains(@text, ""国风"") and @selected=""true""] ''' ]}###{""xpath"": ['''//*[contains(@text, ""国风"")  and bbox_contains_point(../@bounds,$point)] ''' ]}"
neteasemusic_15,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,发现,easy,4,打开网易云发现音乐的精选,"{""xpath"": ['''//*[contains(@text, ""音乐"") and @selected=""true""]   and   //*[contains(@text, ""精选"") and @selected=""true""] ''' ]}###{""xpath"": ['''//*[contains(@text, ""精选"")  and bbox_contains_point(../@bounds,$point)] ''' ]}"
neteasemusic_16,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,发现,easy,4,打开网易云发现的歌单,"{""xpath"": ['''//*[contains(@text, ""音乐"") and @selected=""true""]   and   //*[contains(@text, ""歌单"") and @selected=""true""] ''' ]}###{""xpath"": ['''//*[contains(@text, ""歌单"")  and bbox_contains_point(../@bounds,$point)] ''' ]}"
neteasemusic_17,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,发现,hard,8,打开网易云发现博客广播电台,"{""xpath"": [''' //*[contains(@text, ""播客"") and @selected=""true""]   and //*[contains(@resource-id, ""id/title"") and contains(@text, ""广播电台"")  and bbox_contains_point(@bounds,$point) ]''' ]}"
