task_id,task_identifier,task_app,task_app_CHN,adb_home_page,功能点,"level（easy步数少<5步，是APP的基础操作,主页一眼就能看到，medium步数较多,但每一步都能直接看到。或是需要探索一下但步数特别少(<4)，hard经过的一些功能需要探索才能发现）",golden_steps,goal,key_nodes,Reset,,,,,,,,,
,bili_long_0,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,搜索,long-horizon,20,"打开B站,搜索Minecraft。对搜索结果按播放量排序，筛选最近一周发布的视频。选择一个视频并对它点赞、收藏。在他的评论页面中按时间排序，点赞排序第一的评论，并编辑评论“哈哈”和一个笑脸emoji并发布。","{""xpath"": ['''//*[(contains(@text, ""Minecraft"") or contains(@text, ""minecraft"")) and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''','''//*[contains(@text, ""播放多"") and @selected=""true""]  and //*[contains(@text, ""最近一周"") and @selected=""true""] ''' ,'''//*[contains(@content-desc, ""已点赞"")]  and //*[contains(@content-desc, ""已收藏"")] and //*[contains(@content-desc, ""取消关注"")]''', '''//*[contains(@resource-id, ""like_button"") and @selected=""true""] and //*[contains(@text, ""按时间"")] ''',  '''//*[contains(@text, ""哈哈["")] and //*[contains(@text, ""发布"")  and bbox_contains_point(../@bounds,$point)  ]  ''' ]}",Need,,,,,,,,,
,bili_long_1,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,搜索,long-horizon,24,"打开B站,依次搜索“2014世界杯”,“2018世界杯”和“2022世界杯”,并分别点赞和收藏三次搜索中弹幕量排名第一的视频。","{""xpath"": ['''//*[(contains(@text, ""2014"") or contains(@text, ""世界杯"")) and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''','''//*[contains(@text, ""弹幕多"") and @selected=""true""]''' ,'''//*[contains(@content-desc, ""已点赞"")]  and //*[contains(@content-desc, ""已收藏"")] ''', '''//*[(contains(@text, ""2018"") or contains(@text, ""世界杯"")) and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''','''//*[contains(@text, ""弹幕多"") and @selected=""true""]''' ,'''//*[contains(@content-desc, ""已点赞"")]  and //*[contains(@content-desc, ""已收藏"")] ''', '''//*[(contains(@text, ""2022"") or contains(@text, ""世界杯"")) and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''','''//*[contains(@text, ""弹幕多"") and @selected=""true""]''' ,'''//*[contains(@content-desc, ""已点赞"")]  and //*[contains(@content-desc, ""已收藏"")] ''' ]}",Need,,,,,,,,,
,bili_long_2,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,搜索,long-horizon,20,"打开B站,搜索考研数学。对搜索结果按播放量排序，依次收藏排名前三的3个视频。之后前往我的收藏夹去查看我的收藏结果。","{""xpath"": ['''//*[contains(@text, ""考研"") and contains(@text, ""数学"") and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''','''//*[contains(@text, ""播放多"") and @selected=""true""]''' ,''' //*[contains(@content-desc, ""已收藏"")] ''', '''//*[contains(@text, ""考研"") and contains(@text, ""数学"") and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''', ''' //*[contains(@content-desc, ""已收藏"")] ''',  '''//*[contains(@text, ""考研"") and contains(@text, ""数学"") and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''', ''' //*[contains(@content-desc, ""已收藏"")] ''',  ''' //*[contains(@text, ""收藏"")] and //*[contains(@text, ""追更"")] ''']}",Need,,,,,,,,,
,bili_long_3,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,搜索,long-horizon,20,打开B站搜索抹茶布丁，筛选出播放量最高的最近半年的视频，进入这个视频的up主的主页。将该up主的所有投稿按照播放量排序，选择一个视频并点赞，收藏，缓存这个视频到离线缓存，查看缓存结果。,"{""xpath"": ['''//*[contains(@text, ""抹茶"") and contains(@text, ""布丁"") and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''','''//*[contains(@text, ""播放多"") and @selected=""true""]''' ,''' //*[contains(@text, ""主页"")] and //*[contains(@text, ""投稿"")] and //*[contains(@text, ""最多播放"")] ''','''//*[contains(@content-desc, ""已点赞"")]  and //*[contains(@content-desc, ""已收藏"")] ''', '''//*[contains(@text, ""缓存全部"")  and bbox_contains_point(../@bounds,$point)  ]''', ''' //*[contains(@text, ""离线缓存"") ] ''']}",Need,,,,,,,,,
,bili_long_4,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,搜索,long-horizon,24,打开B站搜索游戏实况，在直播频道选择一个直播间进入，在该直播间的播放设置中设置20分钟后停止播放，在弹幕设置中设置显示区域为3/4屏，弹幕速度为快。,"{""xpath"": ['''//*[contains(@text, ""游戏"") and contains(@text, ""实况"") and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''','''//*[contains(@text, ""直播"") and @selected=""true""]''' ,''' ( //*[contains(@text, ""20"")] and //*[contains(@text, ""分钟"")] and //*[contains(@text, ""完成"")  and bbox_contains_point(../@bounds,$point)  ] )  or  ( //*[@checkable=""true"" and @checked=""true"" and contains(@text, ""20分钟"") ]  ) ''', ''' //*[contains(@text, ""弹幕设置"") ] and //*[contains(@text, ""3/4屏"") ]  and //*[@text=""快""] ''']}",Need,,,,,,,,,
,neteasemusic_long_0,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,long-horizon,26,在网易云将卖报歌，种太阳，理发师加入我喜欢的音乐，随后前往我喜欢的音乐查看,"{""xpath"": [ ''' //*[contains(@text, ""卖报歌"") ] ''' , ''' ( //*[contains(@text, ""我喜欢的音乐"")  and bbox_contains_point(../../@bounds,$point)  ] ) or (//*[contains(@text, ""我喜欢的音乐"")  ] and //*[contains(@text, ""已添加"")  ] ) ''' ,  ''' //*[contains(@text, ""种太阳"") ] ''' , ''' ( //*[contains(@text, ""我喜欢的音乐"")  and bbox_contains_point(../../@bounds,$point)  ] ) or (//*[contains(@text, ""我喜欢的音乐"")  ] and //*[contains(@text, ""已添加"")  ] ) ''' ,  ''' //*[contains(@text, ""理发师"") ] ''' , ''' ( //*[contains(@text, ""我喜欢的音乐"")  and bbox_contains_point(../../@bounds,$point)  ] ) or (//*[contains(@text, ""我喜欢的音乐"")  ] and //*[contains(@text, ""已添加"")  ] ) ''' ,  ''' //*[contains(@text, ""我喜欢的音乐"")  ] and //*[contains(@text, ""卖报歌"") ] and //*[contains(@text, ""种太阳"") ]  and //*[contains(@text, ""理发师"") ]  '''  ]}",Need,,,,,,,,,
,neteasemusic_long_1,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,long-horizon,22,打开网易云的原创榜，依次将前5首歌曲收藏到我喜欢的音乐,"{""xpath"": [''' //*[contains(@text, ""原创榜"")  and bbox_contains_point(../@bounds,$point)  ] ''' , ''' ( //*[contains(@text, ""我喜欢的音乐"")  and bbox_contains_point(../../@bounds,$point)  ] ) or (//*[contains(@text, ""我喜欢的音乐"")  ] and //*[contains(@text, ""已添加"")  ] )  or (//*[contains(@resource-id, ""likeBtn"")   and bbox_contains_point(@bounds,$point)   ] ) ''' , ''' ( //*[contains(@text, ""我喜欢的音乐"")  and bbox_contains_point(../../@bounds,$point)  ] ) or (//*[contains(@text, ""我喜欢的音乐"")  ] and //*[contains(@text, ""已添加"")  ] )  or (//*[contains(@resource-id, ""likeBtn"")   and bbox_contains_point(@bounds,$point)   ] ) ''' , ''' ( //*[contains(@text, ""我喜欢的音乐"")  and bbox_contains_point(../../@bounds,$point)  ] ) or (//*[contains(@text, ""我喜欢的音乐"")  ] and //*[contains(@text, ""已添加"")  ] )  or (//*[contains(@resource-id, ""likeBtn"")   and bbox_contains_point(@bounds,$point)   ] ) ''' , ''' ( //*[contains(@text, ""我喜欢的音乐"")  and bbox_contains_point(../../@bounds,$point)  ] ) or (//*[contains(@text, ""我喜欢的音乐"")  ] and //*[contains(@text, ""已添加"")  ] )  or (//*[contains(@resource-id, ""likeBtn"")   and bbox_contains_point(@bounds,$point)   ] ) ''' , ''' ( //*[contains(@text, ""我喜欢的音乐"")  and bbox_contains_point(../../@bounds,$point)  ] ) or (//*[contains(@text, ""我喜欢的音乐"")  ] and //*[contains(@text, ""已添加"")  ] )  or (//*[contains(@resource-id, ""likeBtn"")   and bbox_contains_point(@bounds,$point)   ] ) '''  ]}",,,,,,,,,,
,neteasemusic_long_2,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,long-horizon,22,帮我把网易云个人资料中的生日设定为2008年8月8日,"{""xpath"": ['''//*[contains(@text, ""我的资料"") ]   and //*[contains(@text, ""2008-8-8"") ]  ''' ]}###{""xpath"": ['''//*[contains(@text, ""2008年"") ] and //*[contains(@text, ""8月8日"") ]   and //*[contains(@text, ""确定"")  and bbox_contains_point(@bounds,$point)  ] ''' ]}",Need,,,,,,,,,
,neteasemusic_long_3,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,long-horizon,21,帮我在网易云上修改一下地区为湖北省宜昌市,"{""xpath"": ['''//*[contains(@text, ""我的资料"") ]   and //*[contains(@text, ""湖北省 宜昌市"") ]  ''' ]}###{""xpath"": ['''//*[contains(@text, ""湖北省"") ] and //*[contains(@text, ""宜昌市"") ]   and //*[contains(@text, ""确定"")  and bbox_contains_point(@bounds,$point)  ] ''' ]}",Need,,,,,,,,,
,neteasemusic_long_4,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,long-horizon,21,去网易云设置25分钟后定时关闭,"{""xpath"": ['''//*[contains(@text, ""自定义：25分钟"") ]   and //*[contains(@text, ""开启"") ]  ''' ]}",Need,,,,,,,,,
,articlenews_long_0,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,搜索,long-horizon,23,去今日头条搜索“红薯菜谱”，点赞前3条搜索结果并关注他们的作者,"{""xpath"": ['''//*[contains(@text, ""红薯"") and contains(@text, ""搜索"") and contains(@text, ""菜谱"")] ''' , '''//*[contains(@content-desc, ""已赞"")] or //*[contains(@content-desc, ""已点赞"")] ''' ,  '''  //*[contains(@text, ""取消关注作者"")]  or //*[contains(@text, ""关注"") and bbox_contains_point(@bounds,$point) ]  ''' , '''//*[contains(@text, ""红薯"") and contains(@text, ""搜索"") and contains(@text, ""菜谱"")] ''' , '''//*[contains(@content-desc, ""已赞"")] or //*[contains(@content-desc, ""已点赞"")] ''' ,  '''  //*[contains(@text, ""取消关注作者"")]  or //*[contains(@text, ""关注"") and bbox_contains_point(@bounds,$point) ]  '''  , '''//*[contains(@text, ""红薯"") and contains(@text, ""搜索"") and contains(@text, ""菜谱"")] ''' , '''//*[contains(@content-desc, ""已赞"")] or //*[contains(@content-desc, ""已点赞"")] ''' ,  '''  //*[contains(@text, ""取消关注作者"")]  or //*[contains(@text, ""关注"") and bbox_contains_point(@bounds,$point) ]  '''     ]}   ",,,,,,,,,,
,articlenews_long_1,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,搜索,long-horizon,20,去今日头条依次搜索2020年到2025年的上海交大在江苏的录取分数线,"{""xpath"": ['''//*[ (contains(@text, ""上海交大"") or contains(@text, ""上海交通大学"")) and contains(@text, ""搜索"")] and //*[ contains(@text, ""2020"")]  and //*[ contains(@text, ""江苏"")] and //*[ contains(@text, ""分数"")]''' , '''//*[ (contains(@text, ""上海交大"") or contains(@text, ""上海交通大学"")) and contains(@text, ""搜索"")] and //*[ contains(@text, ""2021"")]  and //*[ contains(@text, ""江苏"")] and //*[ contains(@text, ""分数"")]''' , '''//*[ (contains(@text, ""上海交大"") or contains(@text, ""上海交通大学"")) and contains(@text, ""搜索"")] and //*[ contains(@text, ""2022"")]  and //*[ contains(@text, ""江苏"")] and //*[ contains(@text, ""分数"")]''' , '''//*[ (contains(@text, ""上海交大"") or contains(@text, ""上海交通大学"")) and contains(@text, ""搜索"")] and //*[ contains(@text, ""2023"")]  and //*[ contains(@text, ""江苏"")] and //*[ contains(@text, ""分数"")]''' , '''//*[ (contains(@text, ""上海交大"") or contains(@text, ""上海交通大学"")) and contains(@text, ""搜索"")] and //*[ contains(@text, ""2024"")]  and //*[ contains(@text, ""江苏"")] and //*[ contains(@text, ""分数"")]''' , '''//*[ (contains(@text, ""上海交大"") or contains(@text, ""上海交通大学"")) and contains(@text, ""搜索"")] and //*[ contains(@text, ""2025"")]  and //*[ contains(@text, ""江苏"")] and //*[ contains(@text, ""分数"")]''' ]}",,,,,,,,,,
,articlenews_long_2,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,频道,long-horizon,21,去今日头条找到体育频道，依次将前5条新闻加入收藏夹。,"{""xpath"": ['''//*[contains(@content-desc, ""体育"") and @selected=""true""] and //*[contains(@content-desc, ""搜索框"") ] ''' , '''//*[contains(@content-desc, ""已收藏"")]  ''' , '''//*[contains(@content-desc, ""体育"") and @selected=""true""] and //*[contains(@content-desc, ""搜索框"") ] ''' , '''//*[contains(@content-desc, ""已收藏"")]  ''' , '''//*[contains(@content-desc, ""体育"") and @selected=""true""] and //*[contains(@content-desc, ""搜索框"") ] ''' , '''//*[contains(@content-desc, ""已收藏"")]  ''' , '''//*[contains(@content-desc, ""体育"") and @selected=""true""] and //*[contains(@content-desc, ""搜索框"") ] ''' , '''//*[contains(@content-desc, ""已收藏"")]  '''  , '''//*[contains(@content-desc, ""体育"") and @selected=""true""] and //*[contains(@content-desc, ""搜索框"") ] ''' , '''//*[contains(@content-desc, ""已收藏"")]  ''' ]}",,,,,,,,,,
,articlenews_long_3,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,频道,long-horizon,21,去今日头条小说频道找到热搜榜第一的小说，开始听书，设置播放倍速为1.5 X，音色为甜美少女音，发送评论哈哈哈。,"{""xpath"": ['''//*[contains(@text, ""热搜榜"")  and bbox_contains_point(@bounds,$point)  ]  ''',  '''//*[contains(@text, ""1.5 X"")  and bbox_contains_point(../@bounds,$point)  ]  or //*[contains(@content-desc, ""1.5 X,倍速，按钮"")]  '''  ,  '''//*[contains(@text, ""甜美少女音"")  and @selected=""true""  ]  or (//*[contains(@text, ""甜美少女音"")   ] and //*[contains(@text, ""定时"")] and //*[contains(@text, ""评论"")] )  ''' ,  '''//*[contains(@text, ""哈哈哈"")] and //*[contains(@text, ""发布"")  and bbox_contains_point(../@bounds,$point)  ]  '''  ]}",,,,,,,,,,
,articlenews_long_4,articlenews,今日头条,com.ss.android.article.news/.activity.MainActivity,我的,long-horizon,27,去今日头条将我的生日设定为1999年9月9日,"{""xpath"": ['''//*[contains(@text, ""生日"") ]   and //*[contains(@text, ""1999-09-09"") ]  ''' ]}###{""xpath"": ['''//*[contains(@text, ""1999年"") ] and //*[contains(@text, ""9月"") ]  and //*[contains(@text, ""9日"") ]   and //*[contains(@text, ""确认"")  and bbox_contains_point(@bounds,$point)  ] ''' ]}",,,,,,,,,,
,fanqieread_long_0,fanqieread,番茄免费小说,com.dragon.read/.pages.splash.SplashActivity,频道,long-horizon,21,在番茄免费小说的女生分类里面筛选包含无CP标签的30万字内的完结小说，选择一部小说，然后搜索其中所有包含“哈哈”的章节，并逐一浏览。,"{""xpath"": ['''//*[contains(@text, ""30万字以内"")  and @selected=""true""  ] and //*[contains(@text, ""完结"")  and @selected=""true""  ] and //*[contains(@text, ""无CP"")  ] ''' , ''' //*[contains(@text, ""搜全文"")  ] and //*[contains(@text, ""取消"") ] ''' , ''' //*[contains(@text, ""哈哈"")  ] and //*[contains(@text, ""取消"") ] ''']}",,,,,,,,,,
,fanqieread_long_1,fanqieread,番茄免费小说,com.dragon.read/.pages.splash.SplashActivity,设置,long-horizon,21,打开番茄小说巅峰榜第一的小说，设置字号为18，字体为系统字体,"{""xpath"": ['''//*[contains(@text, ""巅峰榜"") and bbox_contains_point(@bounds,$point) ] '''  ,  ''' //*[contains(@text, ""字号"")  ] and //*[contains(@text, ""18"") ]  '''   ,  '''//*[contains(@text, ""系统字体"")  and bbox_contains_point(../@bounds,$point)  ]  or (//*[contains(@text, ""字号"")  ] and //*[contains(@text, ""系统字体"") ]  ) ''' ]}",,,,,,,,,,
,fanqieread_long_2,fanqieread,番茄免费小说,com.dragon.read/.pages.splash.SplashActivity,频道,long-horizon,30,在番茄免费小说的男生分类里面筛选玄幻类小说，按高分排序，将前5部小说依次加入书架，最后前往书架浏览。,"{""xpath"": ['''//*[contains(@text, ""高分"")  and @selected=""true""  ] and //*[contains(@text, ""玄幻"")  ] ''' , '''//*[contains(@text, ""加入书架"")  and bbox_contains_point(@bounds,$point)  ]  or //*[contains(@text, ""已加书架"")  ] ''' , '''//*[contains(@text, ""高分"")  and @selected=""true""  ] and //*[contains(@text, ""玄幻"")  ] ''' , '''//*[contains(@text, ""加入书架"")  and bbox_contains_point(@bounds,$point)  ]  or //*[contains(@text, ""已加书架"")  ] ''', '''//*[contains(@text, ""高分"")  and @selected=""true""  ] and //*[contains(@text, ""玄幻"")  ] ''' , '''//*[contains(@text, ""加入书架"")  and bbox_contains_point(@bounds,$point)  ]  or //*[contains(@text, ""已加书架"")  ] ''', '''//*[contains(@text, ""高分"")  and @selected=""true""  ] and //*[contains(@text, ""玄幻"")  ] ''' , '''//*[contains(@text, ""加入书架"")  and bbox_contains_point(@bounds,$point)  ]  or //*[contains(@text, ""已加书架"")  ] ''', '''//*[contains(@text, ""高分"")  and @selected=""true""  ] and //*[contains(@text, ""玄幻"")  ] ''' , '''//*[contains(@text, ""加入书架"")  and bbox_contains_point(@bounds,$point)  ]  or //*[contains(@text, ""已加书架"")  ] ''',    '''//*[contains(@text, ""书架"") and @selected=""true""]'''  ]}",,,,,,,,,,
,fanqieread_long_3,fanqieread,番茄免费小说,com.dragon.read/.pages.splash.SplashActivity,频道,long-horizon,21,去番茄免费小说的听书频道打开一本小说，设置语速为2.0X，并下载该小说的前5章。,"{""xpath"": [''' //*[contains(@text, ""智能朗读"")  ] and //*[contains(@text, ""真人讲书"") ]  '''   ,  ''' (//*[contains(@text, ""语速"")  ] or //*[contains(@text, ""真人讲书"")  ]  ) and //*[contains(@text, ""2.0x"") ]   ''' , '''//*[contains(@text, ""下载 (已选5章)"")  and bbox_contains_point(@bounds,$point)  ]   ''' ]}",,,,,,,,,,
,fanqieread_long_4,fanqieread,番茄免费小说,com.dragon.read/.pages.splash.SplashActivity,搜索,long-horizon,31,去番茄免费小说，依次搜索战争与和平，茶花女，平凡的世界，羊脂球，并关注这4本书的作者,"{""xpath"": [ '''//*[contains(@text, ""战争与和平"") and contains(@class, ""EditText"") ]''' ,  ''' //*[contains(@text, ""关注"")  and bbox_contains_point(../@bounds,$point)  ]   or //*[contains(@content-desc, ""已关注"")] ''' ,   '''//*[contains(@text, ""茶花女"") and contains(@class, ""EditText"") ]''' ,  ''' //*[contains(@text, ""关注"")  and bbox_contains_point(../@bounds,$point)  ]   or //*[contains(@content-desc, ""已关注"")] ''' ,   '''//*[contains(@text, ""平凡的世界"") and contains(@class, ""EditText"") ]''' ,  ''' //*[contains(@text, ""关注"")  and bbox_contains_point(../@bounds,$point)  ]   or //*[contains(@content-desc, ""已关注"")] ''' ,   '''//*[contains(@text, ""羊脂球"") and contains(@class, ""EditText"") ]''' ,  ''' //*[contains(@text, ""关注"")  and bbox_contains_point(../@bounds,$point)  ]   or //*[contains(@content-desc, ""已关注"")] ''' ]}",,,,,,,,,,
,pinduoduo_long_0,pinduoduo,拼多多,com.xunmeng.pinduoduo/.ui.activity.MainFrameActivity,搜索,long-horizon,20,"去拼多多将抹茶味百奇饼干,黄瓜味乐事薯片,牛奶味德芙,巧克力味奥利奥加入收藏","{""xpath"": ['''//*[ contains(@content-desc, ""百奇"") and contains(@content-desc, ""抹茶"") and contains(@resource-id, ""id/tv_title"") ]   ''' ,   ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"")])   ''' , '''//*[ contains(@content-desc, ""黄瓜"") and contains(@content-desc, ""乐事"") and contains(@resource-id, ""id/tv_title"") ]   ''' ,   ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"")] )   '''  , '''//*[ contains(@content-desc, ""牛奶"") and contains(@content-desc, ""德芙"") and contains(@resource-id, ""id/tv_title"") ]   ''' ,   ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"") ])   ''' , '''//*[ contains(@content-desc, ""巧克力"") and contains(@content-desc, ""奥利奥"") and contains(@resource-id, ""id/tv_title"") ]   ''' ,   ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"") ])   ''']}",,,,,,,,,,
,pinduoduo_long_1,pinduoduo,拼多多,com.xunmeng.pinduoduo/.ui.activity.MainFrameActivity,搜索,long-horizon,20,去拼多多依次搜索小米空调，小米洗衣机，小米冰箱和小米充电宝，依次将搜索到的第一个商品加入收藏,"{""xpath"": ['''//*[ contains(@content-desc, ""小米"") and contains(@content-desc, ""空调"") and contains(@resource-id, ""id/tv_title"") ]   ''' ,   ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"") ])   ''' , '''//*[ contains(@content-desc, ""小米"") and contains(@content-desc, ""洗衣机"") and contains(@resource-id, ""id/tv_title"") ]   ''' ,   ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"")] )   '''  , '''//*[ contains(@content-desc, ""小米"") and contains(@content-desc, ""冰箱"") and contains(@resource-id, ""id/tv_title"") ]   ''' ,   ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"") ])   ''' , '''//*[ contains(@content-desc, ""小米"") and contains(@content-desc, ""充电宝"") and contains(@resource-id, ""id/tv_title"") ]   ''' ,   ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"") ])   ''']}",,,,,,,,,,
,pinduoduo_long_2,pinduoduo,拼多多,com.xunmeng.pinduoduo/.ui.activity.MainFrameActivity,搜索,long-horizon,22,"去拼多多搜索红茶,筛选包装方式为罐装,种类为祁门红茶,原产地为安徽省,按照销量排序，依次将排名前四的商品加入收藏","{""xpath"": ['''//*[contains(@text, ""罐装"")  and bbox_contains_point(@bounds,$point)  ]  ''', '''//*[contains(@text, ""安徽省"")  and bbox_contains_point(@bounds,$point)  ]  ''', '''//*[contains(@text, ""祁门红茶"")  and bbox_contains_point(@bounds,$point)  ]  ''', '''//*[contains(@text, ""销量"")  and bbox_contains_point(../@bounds,$point)  ]  ''',  '''//*[ contains(@content-desc, ""红茶"") and contains(@resource-id, ""id/tv_title"") ]   ''' ,   ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"") ])   ''' ,   ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"")] )   ''' , ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"") ])   ''' , ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"")] )   ''']}",,,,,,,,,,
,pinduoduo_long_3,pinduoduo,拼多多,com.xunmeng.pinduoduo/.ui.activity.MainFrameActivity,搜索,long-horizon,25,"去拼多多搜索咖啡,筛选包装方式为罐装和条装,原产地为云南省和安徽省,发货地为安徽,按照销量排序，依次收藏排名前二的商品和关注它们的店铺","{""xpath"": ['''//*[contains(@text, ""罐装"")  and bbox_contains_point(@bounds,$point)  ]  ''', '''//*[contains(@text, ""条装"")  and bbox_contains_point(@bounds,$point)  ]  ''', '''//*[contains(@text, ""安徽省"")  and bbox_contains_point(@bounds,$point)  ]  ''', '''//*[contains(@text, ""云南省"")  and bbox_contains_point(@bounds,$point)  ]  ''', '''//*[contains(@text, ""销量"")  and bbox_contains_point(../@bounds,$point)  ]  ''',  '''//*[ contains(@content-desc, ""咖啡"") and contains(@resource-id, ""id/tv_title"") ]   ''' ,   ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"")] )   ''' ,  ''' (//*[ contains(@content-desc, ""关注"") and bbox_contains_point(../@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已关注"")] )   ''' ,   ''' (//*[ contains(@content-desc, ""收藏"") and bbox_contains_point(@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已收藏"") ])   ''' ,  ''' (//*[ contains(@content-desc, ""关注"") and bbox_contains_point(../@bounds,$point)  ] ) or  (//*[ contains(@content-desc, ""已关注"")] )   ''' ]}",,,,,,,,,,
