"task_id","task_identifier","task_app","task_app_CHN","adb_home_page","功能点","Icon","HiddenFunction","Hierarchical","weight","explo_level","level","golden_steps","goal","key_nodes","Reset","Unnamed: 16","Unnamed: 18","Unnamed: 19"
"517","bili_12","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","动画","","1","","1","E","medium","6","我想在哔哩哔哩看一下牧神记第一集","{""xpath"": ['''//*[contains(@content-desc, ""牧神记"") ] and //*[contains(@text, ""选集"") and contains(@resource-id, ""title"") ] and //*[contains(@text, ""第 1 话"") and contains(@resource-id, ""title"") ] ''']}","Search","TRUE","",""
"0","bili_20","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","会员购","","","1","2","M","hard","6","打开B站会员购查看我的优惠券有哪些","{""xpath"": ['''//*[contains(@text, ""我的优惠券"")  and contains(@class, ""WebView"")] ''' ]}###{""xpath"": ['''//*[contains(@text, ""优惠券"")  and contains(@resource-id, ""id/id_assets_name"")] ''' ]}","","","",""
"636","bili_21","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","我的","1","1","","1.5","M","hard","7","打开哔哩哔哩，帮我更换一个随机头像","{""xpath"": ['''//*[contains(@text, ""更换头像"") and bbox_contains_point(@bounds,$point)] or //*[contains(@class, ""RelativeLayout"") and (child::*[contains(@text, ""头像"")]) and bbox_contains_point(@bounds,$point)]''',  '''//*[contains(@class, ""RelativeLayout"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""随机"") and contains(@resource-id, ""id/menu_text"")])]''']}","","","",""
"0","bili_25","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","我的","","1","1","3","H","easy","4","我要联系B站客服","{""xpath"": ['''//*[contains(@class, ""ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""联系客服"") and contains(@resource-id, ""id/title"")])]''']}###{""xpath"": ['''//*[contains(@class, ""EditText"")  and contains(@resource-id, ""id/text_input"")] and //*[contains(@text, ""客服"")]  ''' ]}","Need","","",""
"0","bili_28","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","设置","1","1","1","3.5","H","hard","11","打开B站定时关闭","{""xpath"": ['''//*[contains(@class, ""ViewGroup"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""定时关闭"") and contains(@resource-id, ""id/title"")])]''' , ''' //*[contains(@text, ""定时关闭"") ]  and //*[@checkable=""true"" and @checked=""true"" and (preceding-sibling::*[contains(@text, ""自定义"") or contains(@text, ""分钟"")])]''' ]} ###{""xpath"": ['''//*[contains(@class, ""LinearLayout"") and (child::*[@checkable=""true"" and @checked=""true""]) and (preceding-sibling::*[contains(@class, ""RelativeLayout"") and (child::*[contains(@text, ""自定义"") or contains(@text, ""分钟"")])  ])]''' ]} ","Need","FALSE","",""
"","neteasemusic_6","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","搜索","","1","","1","E","hard","6","网易云播放孤勇者，并展示歌词","{""xpath"": ['''//*[contains(@text, ""孤勇者"") and contains(@resource-id, ""id/custom_title"") ] and //*[contains(@text, ""歌词"") and @selected=""true""] ''' ]}","Search","TRUE","",""
"","neteasemusic_10","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","频道","1","","","0.5","E","easy","4","打开网易云推荐扫一扫","{""xpath"": ['''//*[contains(@text, ""我的二维码"") and contains(@resource-id, ""id/myBarcode"") ]''' ]}###{""xpath"": ['''//*[contains(@text, ""Scan QR"") ] and //*[contains(@text, ""ALBUM"") ] ''' ]}","","","",""
"","neteasemusic_18","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","发现","","1","1","3","H","easy","3","打开网易云笔记推荐","{""xpath"": ['''//*[contains(@text, ""笔记"") and @selected=""true""] and //*[contains(@text, ""推荐"") and @selected=""true""] and //*[contains(@text, ""关注"") and @selected=""false""] ''' ]}","","","",""
"","neteasemusic_24","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","我的","","1","1","3","H","easy","4","打开网易云我的听歌排行","{""xpath"": ['''//*[contains(@text, ""听歌排行"") ] and //*[contains(@text, ""最近一周"") ] and //*[contains(@text, ""所有时间"") ] ''' ]}","","","",""
"","neteasemusic_28","neteasemusic","网易云音乐","com.netease.cloudmusic/.activity.IconChangeDefaultAlias","我的","1","1","","1.5","M","hard","7","打开网易云深色模式","{""xpath"": [''' //*[contains(@text, ""深色模式"") and ( following-sibling::*[@text=""开启""])]  and  //*[contains(@text, ""播放页常亮"") ] ''' ]}","","TRUE","",""
"","articlenews_3","articlenews","今日头条","com.ss.android.article.news/.activity.MainActivity","搜索","1","1","","1.5","M","easy","5","去今日头条清空搜索历史","{""xpath"": [ '''//*[contains(@text, ""清空搜索历史"")] and //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ] ''' ]} ","Search","","",""
"","articlenews_15","articlenews","今日头条","com.ss.android.article.news/.activity.MainActivity","设置","1","","","0.5","E","hard","6","打开今日头条的夜间模式","{""xpath"": [''' //*[contains(@text, ""日间模式"") and contains(@resource-id, ""id/d95"") ]''']}###{""xpath"": [''' //*[contains(@class, ""RelativeLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""深色模式"") ] ) ] ''']}","Need","TRUE","",""
"","articlenews_12","articlenews","今日头条","com.ss.android.article.news/.activity.MainActivity","我的","1","1","","1.5","M","hard","8","去今日头条更换头像，从默认头像的艺术类中选一个","{""xpath"": ['''//*[contains(@text,""选择默认头像"")] and //*[contains(@text, ""艺术"")] and //*[contains(@text, ""选取"") and bbox_contains_point(@bounds,$point) ] ''' ]} ","Need","TRUE","",""
"","articlenews_16","articlenews","今日头条","com.ss.android.article.news/.activity.MainActivity","设置","1","1","","1.5","M","medium","5","去今日头条把自动开启阅读模式关掉","{""xpath"": ['''//*[contains(@text, ""自动开启阅读模式"")]  and //*[contains(@text, ""关闭"") and contains(@class, ""Switch"")] ''' ]}","Need","TRUE","",""
"","articlenews_19","articlenews","今日头条","com.ss.android.article.news/.activity.MainActivity","设置","","1","1","3","H","medium","7","去今日头条设置不接受陌生人消息","{""xpath"": [ '''//*[contains(@text, ""不再接收陌生人消息"")] and //*[contains(@text, ""确定关闭"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [ '''//*[contains(@text, ""接收陌生人的消息"")] and //*[contains(@text, ""已关闭"") ] ''' ]} ###{""xpath"": [ '''//*[contains(@text, ""陌生人消息"")] and //*[contains(@text, ""不接受陌生人的消息"")] ''' ]}","Need","TRUE","",""
"","fanqieread_9","fanqieread","番茄免费小说","com.dragon.read/.pages.splash.SplashActivity","频道","","2","","2","M","medium","5","在番茄里面筛选玄幻、无女主小说","{""xpath"": ['''(//*[contains(@text, ""玄幻"") and contains(@class, ""EditText"")] or //*[contains(@text, ""玄幻"") and @selected=""true""] or //*[contains(@text, ""玄幻"") and (parent::*[contains(@class, ""view.ViewGroup"")])])  and (//*[contains(@text, ""无女主"") and contains(@class, ""EditText"")] or //*[contains(@text, ""无女主"") and @selected=""true""] or //*[contains(@text, ""无女主"") and (parent::*[contains(@class, ""view.ViewGroup"")])])  ''']}","","","",""
"","fanqieread_17","fanqieread","番茄免费小说","com.dragon.read/.pages.splash.SplashActivity","书架","1","1","","1.5","M","hard","6","进入番茄小说的“穿越”圈子并订阅它","{""xpath"": [  '''//*[contains(@text, ""穿越圈"")] and //*[contains(@text, ""已订阅"")] and //*[contains(@text, ""最热"")]   and //*[contains(@text, ""最新"") ]''' ]}","","FALSE","",""
"","fanqieread_18","fanqieread","番茄免费小说","com.dragon.read/.pages.splash.SplashActivity","我的","","1","1","3","H","hard","7","把番茄的阅读偏好设置成男生小说","{""xpath"": [ '''//*[contains(@text, ""选择你的兴趣偏好"")] and //*[contains(@text, ""男生小说"")] and //*[contains(@text, ""女生小说"")] and //*[contains(@text, ""我都爱看"") ]''' ]}","","TRUE","",""
"","fanqieread_22","fanqieread","番茄免费小说","com.dragon.read/.pages.splash.SplashActivity","我的","","1","","1","E","hard","4","在番茄小说签到","{""xpath"": [ '''//*[contains(@text, ""今日签到"")] and //*[contains(@text, ""立即签到"") and bbox_contains_point(@bounds,$point) ] ''' ]}###{""xpath"": [ '''  //*[contains(@text, ""签到赚钱"") and bbox_contains_point(@bounds,$point) ] ''' ]}","Need","","",""
"","fanqieread_26","fanqieread","番茄免费小说","com.dragon.read/.pages.splash.SplashActivity","设置","1","2","1","4.5","H","hard","7","在番茄小说中随便打开一本小说，设置字号为22，翻页方式为上下","{""xpath"": [ '''//*[contains(@text, ""翻页"")] and //*[contains(@text, ""上下"") and bbox_contains_point(@bounds,$point) ] ''' , '''//*[contains(@text, ""字号"")] and //*[contains(@text, ""22"")   ] ''' ]} ","Need","TRUE","",""
"","pinduoduo_4","pinduoduo","拼多多","com.xunmeng.pinduoduo/.ui.activity.MainFrameActivity","搜索","1","2","","2.5","H","hard","7","在拼多多里复制一个白色Type-C数据线的商品链接","{""xpath"": ['''//*[ contains(@content-desc, ""数据线"") and (contains(@content-desc, ""type-c"")  or  contains(@content-desc, ""Type-c""))  and contains(@resource-id, ""id/tv_title"") ] and  //*[ contains(@text, ""店铺"") and contains(@resource-id, ""id/pdd"") ]  ''' ,   '''//*[contains(@class, ""LinearLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""复制链接"") and contains(@resource-id, ""id/pdd"") ] ) ]   ''' ]}","","","",""
"","pinduoduo_13","pinduoduo","拼多多","com.xunmeng.pinduoduo/.ui.activity.MainFrameActivity","频道","","2","","2","M","medium","4","查看拼多多男装板块的上衣外套第一个商品的详情","{""xpath"": ['''//*[contains(@class, ""LinearLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""上衣外套"") and contains(@resource-id, ""id/name"") ] ) ]   ''',  ''' //*[ contains(@text, ""店铺"") and contains(@resource-id, ""id/pdd"") ] ''' ]}","","","",""
"","pinduoduo_19","pinduoduo","拼多多","com.xunmeng.pinduoduo/.ui.activity.MainFrameActivity","频道","","3","","3","H","hard","6","打开拼多多查看垂钓装备第一款商品的发货说明详情","{""xpath"": ['''//*[ (contains(@content-desc, ""鱼"") or  contains(@content-desc, ""渔"") or   contains(@content-desc, ""钓"") ) and contains(@resource-id, ""id/tv_title"") ] and  //*[ contains(@text, ""店铺"") and contains(@resource-id, ""id/pdd"") ]  ''' ,   '''//*[ contains(@text, ""发货说明"")  and contains(@class, ""TextView"") ]  ''' ]}","Need","","",""
"","pinduoduo_26","pinduoduo","拼多多","com.xunmeng.pinduoduo/.ui.activity.MainFrameActivity","个人中心","1","1","","1.5","M","hard","6","暂时关闭拼多多自动免拼","{""xpath"": [  ''' //*[ contains(@text, ""免拼设置"")  and contains(@resource-id, ""id/tv_title"") ] and //*[contains(@text, ""暂时关闭"")   ]  ''' ]}","Need","TRUE","",""
