task_identifier,task_app,apk,task_app_CHN,adb_home_page,goal,functional_point,difficulty_level,golden_steps,key_nodes,Reset,reset_steps,reset_query,reset_xpath
idxyer_0,idxyer,idxyer_10.3.0.apk,丁香园,cn.dxy.idxyer/.biz.startup.StartupActivity,帮我在丁香园关闭“截屏后提示分享”,设置,medium,6,"{""xpath"": ['''//*[@checkable=""true"" and @checked=""false"" and (preceding-sibling::*[contains(@text, ""截屏后提示分享"")])]''']}",Need,6,帮我在丁香园打开“截屏后提示分享”。步骤如下：1. 打开丁香园，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面右上角的齿轮状的设置按钮，进入设置界面。3. 在设置页面里面，观察“截屏后提示分享”右侧的滑块，点击滑块让它处于开启状态，完成任务。按照以上步骤打开截屏后提示分享。,"{""xpath"": ['''//*[@checkable=""true"" and @checked=""true"" and (preceding-sibling::*[contains(@text, ""截屏后提示分享"")])]''']}"
idxyer_2,idxyer,idxyer_10.3.0.apk,丁香园,cn.dxy.idxyer/.biz.startup.StartupActivity,帮我查看丁香园的骨科最新指南,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""骨科"") and contains(@resource-id, ""id/searchInputMet"")] and //*[contains(@text, ""指南"") and contains(@class, ""TextView"")] ''']}###{""xpath"": ['''//*[contains(@content-desc, ""骨科"")  and bbox_contains_point(@bounds,$point) ] and //*[contains(@content-desc, ""指南"") and contains(@class, ""ImageView"")] ''']}",Search,5,去丁香园清除搜索记录。步骤如下：1. 打开丁香园，点击首页顶部的搜索框。2.在搜索页中的搜索记录那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。如果没有搜索记录那一栏，视为任务完成。 按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@resource-id, ""id/ivSearchHistoryDelete"") and bbox_contains_point(@bounds,$point) ] ''' ]}###{""xpath"": [''' //*[ contains(@class, ""EditText"") and contains(@resource-id, ""id/searchInputMet"") ] and not(//*[contains(@text, ""搜索记录"")] ) ''' ]}"
keep_0,keep,keep_8.5.30.apk,Keep,com.gotokeep.keep/.splash.SplashActivity,在Keep中打开计划搜索户外跑,搜索,easy,6,"{""xpath"": ['''//*[contains(@text, ""计划"") and bbox_contains_point(@bounds,$point)] ''', '''//*[contains(@text, ""户外跑"") and contains(@class, ""EditText"") and contains(@resource-id, ""editText_search_bar"")] ''']}",Search,6,去Keep清除搜索历史。步骤如下：1. 打开Keep，点击首页顶部的搜索框或搜索按钮。2.在搜索页中的搜索记录那一栏右侧有一个垃圾桶形状的清除按钮，这代表着清空搜索历史。 点击这个垃圾桶按钮。3. 在弹出的“是否清除全部搜索记录”的弹窗中，点击“清除”按钮。如果没有搜索记录那一栏，视为任务完成。 按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""清除全部搜索记录"")] and //*[contains(@text, ""清除"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@resource-id, ""editText_search_bar"") ]  and //*[contains(@text, ""搜索发现"")] and not(//*[contains(@text, ""搜索记录"")] ) ''' ]}"
dongqiudi_0,dongqiudi,dongqiudi_8.4.2.apk,懂球帝,com.dongqiudi.news/.BaseSplashActivity,在懂球帝查询世界杯赛程,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""世界杯赛程"") and contains(@resource-id, ""id/search_edit"")]''']}",Search,5,去懂球帝清除搜索历史。步骤如下：1. 打开懂球帝，点击首页顶部的搜索框。2.在搜索页中的搜索历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索历史。 点击这个垃圾桶按钮。3. 在弹出的“确认清除所有搜索记录”的弹窗中，点击“清除”按钮。如果没有搜索历史那一栏，视为任务完成。 按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""清除所有搜索记录"")] and //*[contains(@text, ""清除"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@resource-id, ""search_edit"") ]  and //*[contains(@text, ""搜索"") and contains(@resource-id, ""id/search_btn"")] and not(//*[contains(@text, ""搜索历史"")] ) ''' ]}"
dongqiudi_3,dongqiudi,dongqiudi_8.4.2.apk,懂球帝,com.dongqiudi.news/.BaseSplashActivity,在懂球帝将我的主队设置为英超阿森纳,频道,hard,8,"{""xpath"": ['''//*[contains(@text, ""主队"") and contains(@resource-id, ""id/lib_title_text"")] and //*[contains(@text, ""阿森纳"")]  ''']}",Need,8,去懂球帝取消我的主队设置。步骤如下：1. 打开懂球帝，点击底部5个按钮中间的那个按钮，是一个图标，位于“比赛”和“发现”按钮中间。这代表我的主队按钮。2.在主队页中，点击右上角的一个三个点的按钮，调出“我的关注”页。3.  在“我的关注”页中，在我的主队那一栏中有一个队伍代表我的主队，点击那个队伍右侧的一个向下箭头，调出下拉菜单。 4. 点击下拉菜单中的“取消关注选项。5. 在弹出的“确认对其所有比赛的关注”的弹窗中，点击“不再关注”按钮。如果进入主队页时，页面中间显示一堆队徽图标和一个“选好了”按钮，或者显示”“你还没有设置最爱球队”，说明我没有设置主队，视为任务完成。 按照以上步骤取消我的主队设置。,"{""xpath"": [ '''//*[contains(@content-desc, ""主队设置"") and contains(@content-desc, ""取消"")] and //*[contains(@content-desc, ""确定"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [ '''//*[contains(@content-desc, ""取消对其所有比赛的关注"")] and //*[contains(@content-desc, ""不再关注"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": ['''  //*[contains(@text, ""你还没有设置最爱球队"")]''' ]}  ###{""xpath"": ['''  //*[contains(@content-desc, ""可将关注的球队设置为主队"")]''' ]}###{""xpath"": ['''//*[contains(@text, ""主队"") and contains(@resource-id, ""id/lib_title_text"")] and //*[contains(@content-desc, ""选好了"")]  ''']}"
dongqiudi_4,dongqiudi,dongqiudi_8.4.2.apk,懂球帝,com.dongqiudi.news/.BaseSplashActivity,去懂球帝设置为深色主题,设置,medium,5,"{""xpath"": ['''//*[contains(@resource-id, ""mode_check_box"") and @checkable=""true"" and @checked=""true""] and //*[contains(@text, ""深色主题"")] ''']}###{""xpath"": ['''//*[contains(@resource-id, ""mode_check_box"") and @checkable=""true"" and @checked=""true""  and bbox_contains_point(@bounds,$point) ] and //*[contains(@text, ""深色主题"")] ''']}",Need,5,去懂球帝关闭深色主题。步骤如下：1. 打开懂球帝，点击首页左上角的头像按钮，进入个人中心页面。 2. 在个人中心页面里面，观察“深色主题”右侧的滑块，点击滑块让它处于关闭状态。，完成任务。按照以上步骤关闭深色主题。,"{""xpath"": ['''//*[contains(@resource-id, ""mode_check_box"") and @checkable=""true"" and @checked=""false""] and //*[contains(@text, ""深色主题"")] ''']}###{""xpath"": ['''//*[contains(@resource-id, ""mode_check_box"") and @checkable=""true"" and @checked=""false""  and bbox_contains_point(@bounds,$point) ] and //*[contains(@text, ""深色主题"")] ''']}"
hupu_1,hupu,hupu_8.0.50.apk,虎扑,com.hupu.games/.main.MainActivity,去虎扑查查去年NBA联赛冠军是谁,搜索,easy,4,"{""xpath"": ['''//*[contains(@text, ""NBA"") and contains(@text, ""冠军"") and contains(@resource-id, ""id/et_search"")]   ''']}",Search,4,去虎扑清除搜索历史。步骤如下：1. 打开虎扑，点击首页顶部的搜索框。2.在搜索页中的搜索历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索历史。 点击这个垃圾桶按钮。3. 在弹出的“确认删除全部搜索历史”的弹窗中，点击“删除”按钮。如果没有搜索历史那一栏，视为任务完成。 按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""确认删除全部搜索历史"")] and //*[contains(@text, ""删除"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@resource-id, ""id/et_search"") ]  and //*[contains(@text, ""都在搜"")] and not(//*[contains(@text, ""搜索记录"")] ) ''' ]}"
hupu_3,hupu,hupu_8.0.50.apk,虎扑,com.hupu.games/.main.MainActivity,去虎扑关闭个性化推荐,设置,hard,6,"{""xpath"": ['''//*[contains(@text, ""个性化推荐"") and (following-sibling::*[contains(@class, ""Switch"") and @checkable=""true"" and @checked=""false"" ]) ] ''']}",Need,6,去虎扑打开个性化推荐。步骤如下：1. 打开虎扑，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面右上角的螺帽状的设置按钮，进入设置界面。3. 在设置页面里面，点击通用设置按钮。 4. 在通用设置页面里面，观察“个性化推荐”右侧的滑块，点击滑块让它处于开启状态，完成任务。按照以上步骤打开个性化推荐。,"{""xpath"": ['''//*[contains(@text, ""个性化推荐"") and (following-sibling::*[contains(@class, ""Switch"") and @checkable=""true"" and @checked=""true"" ]) ] ''']}"
hupu_4,hupu,hupu_8.0.50.apk,虎扑,com.hupu.games/.main.MainActivity,去虎扑设置我的主队为曼联,设置,hard,9,"{""xpath"": ['''//*[contains(@text, ""曼联"")  and contains(@resource-id, ""id/tvTeamName"") and (following-sibling::*[contains(@resource-id, ""id/ivDelete"")  ]) ] ''']}",Need,9,去虎扑取消我的主队设置。步骤如下：1. 打开虎扑，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面右上角的螺帽状的设置按钮，进入设置界面。3. 在设置页面里面，点击我的主队按钮。 4. 在主队选择页面里面，观察左下角完成按钮旁边，是否有一个元素框中包含一个主队图标和一个垃圾桶按钮，如果有，说明我的主队已设置，点击那个垃圾桶按钮以取消主队设置。如果左下角灭有垃圾桶按钮，说明我没有设置主队，完成任务。按照以上步骤打开个性化推荐。,"{""xpath"": ['''//*[contains(@resource-id, ""id/ivDelete"")  and bbox_contains_point(../@bounds,$point) ] and //*[contains(@text, ""主队选择"")] ''']}"
kugoumusic_0,kugoumusic,com.kugou.android,酷狗音乐,com.kugou.android/.app.splash.SplashActivity,关闭酷狗音乐的自适应系统深浅色,设置,medium,5,"{""xpath"": ['''//*[contains(@text, ""自适应系统深浅色"")] and //*[contains(@content-desc, ""未选中开关"")]''']}",Need,5,打开酷狗音乐的自适应系统深浅色。步骤如下：1. 打开酷狗音乐，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面右上角的三条横线的设置按钮，进入设置界面。3. 在设置页面里面，观察“自适应系统深浅色”右侧的滑块，点击滑块让它处于开启状态，完成任务。按照以上步骤打开自适应系统深浅色。,"{""xpath"": ['''//*[contains(@text, ""自适应系统深浅色"")] and //*[contains(@content-desc, ""已选中开关"")]''']}"
