task_identifier,task_app,apk,task_app_CHN,adb_home_page,goal,functional_point,difficulty_level,golden_steps,key_nodes
idxyer_0,idxyer,idxyer_10.3.0.apk,丁香园,cn.dxy.idxyer/.biz.startup.StartupActivity,帮我在丁香园关闭“截屏后提示分享”,设置,medium,6,"{""xpath"": ['''//*[@checkable=""true"" and @checked=""false"" and (preceding-sibling::*[contains(@text, ""截屏后提示分享"")])]''']}"
idxyer_1,idxyer,idxyer_10.3.0.apk,丁香园,cn.dxy.idxyer/.biz.startup.StartupActivity,帮我打开丁香园临床内科的版块，看看有哪些热帖,频道,easy,4,"{""xpath"": ['''//*[contains(@class, ""ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""临床内科"") and contains(@resource-id, ""id/tv_category_title"") ])] ''']}"
idxyer_2,idxyer,idxyer_10.3.0.apk,丁香园,cn.dxy.idxyer/.biz.startup.StartupActivity,帮我查看丁香园的骨科最新指南,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""骨科"") and contains(@resource-id, ""id/searchInputMet"")] and //*[contains(@text, ""指南"") and contains(@class, ""TextView"")] ''']}###{""xpath"": ['''//*[contains(@content-desc, ""骨科"")  and bbox_contains_point(@bounds,$point) ] and //*[contains(@content-desc, ""指南"") and contains(@class, ""ImageView"")] ''']}"
idxyer_3,idxyer,idxyer_10.3.0.apk,丁香园,cn.dxy.idxyer/.biz.startup.StartupActivity,帮我查询一下在丁香园临床诊疗心血管科的相关课程,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""临床诊疗"") and contains(@text, ""心血管科"") and contains(@text, ""课程"") and contains(@resource-id, ""id/searchInputMet"")] ''']}"
idxyer_4,idxyer,idxyer_10.3.0.apk,丁香园,cn.dxy.idxyer/.biz.startup.StartupActivity,在丁香园查一下过敏性鼻炎应该用什么药,搜索,easy,4,"{""xpath"": ['''//*[contains(@text, ""过敏性鼻炎"") and contains(@text, ""药"") and contains(@resource-id, ""id/searchInputMet"")] ''']}"
keep_0,keep,keep_8.5.30.apk,Keep,com.gotokeep.keep/.splash.SplashActivity,在Keep中打开计划搜索户外跑,搜索,easy,6,"{""xpath"": ['''//*[contains(@text, ""计划"") and bbox_contains_point(@bounds,$point)] ''', '''//*[contains(@text, ""户外跑"") and contains(@class, ""EditText"") and contains(@resource-id, ""editText_search_bar"")] ''']}"
keep_1,keep,keep_8.5.30.apk,Keep,com.gotokeep.keep/.splash.SplashActivity,在Keep查看课程里的排行榜,频道,easy,5,"{""xpath"": ['''//*[contains(@text, ""课程"") and bbox_contains_point(@bounds,$point)] ''', '''//*[contains(@class, ""ViewGroup"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""排行榜"") and contains(@resource-id, ""id/textEntrance"") ])] ''']}"
keep_2,keep,keep_8.5.30.apk,Keep,com.gotokeep.keep/.splash.SplashActivity,用Keep查看本月的活动月历,频道,medium,6,"{""xpath"": ['''//*[contains(@class, ""ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""活动月历"") and contains(@resource-id, ""id/textEntrance"") ])] ''']}"
keep_3,keep,keep_8.5.30.apk,Keep,com.gotokeep.keep/.splash.SplashActivity,在Keep的榜单中查看减脂热门榜,频道,medium,6,"{""xpath"": ['''//*[contains(@text, ""减脂热门榜"") and @selected=""true""] ''']}"
keep_4,keep,keep_8.5.30.apk,Keep,com.gotokeep.keep/.splash.SplashActivity,在Keep查看我的动态,动态,easy,5,"{""xpath"": ['''//*[contains(@text, ""我的动态"") and contains(@resource-id, ""id/title"")] ''']}"
xiaoxun_0,xiaoxun,xiaoxun_1.2.19.apk,小寻,com.xiaoxun.xun/.activitys.XunAdSplashActivity,帮我查看小寻上目前我有多少积分,我的,easy,5,"{""xpath"": ['''//*[contains(@text, ""我的积分"") and contains(@resource-id, ""title"")] ''']}"
xiaoxun_1,xiaoxun,xiaoxun_1.2.19.apk,小寻,com.xiaoxun.xun/.activitys.XunAdSplashActivity,查看小寻里面我的购物车都有哪些产品,我的,easy,4,"{""xpath"": ['''//*[contains(@text, ""购物车-小寻商城"") and contains(@resource-id, ""id/tv_title"")] ''']}"
xiaoxun_2,xiaoxun,xiaoxun_1.2.19.apk,小寻,com.xiaoxun.xun/.activitys.XunAdSplashActivity,在小寻打开Z9 Pro电话手表的商品页,搜索,medium,7,"{""xpath"": ['''//*[contains(@text, ""Z9 Pro"") and contains(@text, ""电话手表"")  and contains(@resource-id, ""id/tv_title"")] ''']}"
xiaoxun_3,xiaoxun,xiaoxun_1.2.19.apk,小寻,com.xiaoxun.xun/.activitys.XunAdSplashActivity,在小寻查看已完成订单,我的,medium,6,"{""xpath"": ['''//*[contains(@text, ""订单- 全部订单"") and contains(@resource-id, ""id/tv_title"")]  and //*[contains(@content-desc, ""已完成"")  and bbox_contains_point(@bounds,$point) ]   ''']}"
xiaoxun_4,xiaoxun,xiaoxun_1.2.19.apk,小寻,com.xiaoxun.xun/.activitys.XunAdSplashActivity,在小寻查看优惠券提醒信息,我的,easy,4,"{""xpath"": ['''//*[contains(@text, ""优惠券提醒"") and contains(@resource-id, ""id/tv_title"")] ''']}"
dwbtime_0,dwbtime,dwbtime_11.6.8.apk,亲宝宝,com.dw.btime/.Launcher,我想在亲宝宝中查看宝宝最新记录的身高是多少,我的,easy,4,"{""xpath"": ['''//*[contains(@resource-id, ""growth_hpj_value"") and (preceding-sibling::*[contains(@text, ""身高"")])]''']}###{""xpath"": ['''//*[contains(@text, ""生长记录"")  and bbox_contains_point(../@bounds,$point) ] ''']}"
