task_id,task_identifier,task_app,task_app_CHN,adb_home_page,functional_point,difficulty_level,golden_steps,goal,key_nodes,Reset,reset_steps,reset_query,reset_xpath
0,bili_13,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,影视,medium,6,在B站打开西游记第二集,"{""xpath"": ['''//*[contains(@content-desc, ""西游记"") ] and //*[contains(@text, ""选集"") and contains(@resource-id, ""title"") ] and //*[contains(@text, ""第 2 集"") and contains(@resource-id, ""title"") ] ''']}###{""xpath"": ['''//*[contains(@text, ""西游记"") and contains(@text, ""第二集"") and contains(@resource-id, ""id/title"") ]  ''']}",Search,6,我需要清空哔哩哔哩的搜索历史，步骤如下：1. 打开哔哩哔哩，点击首页顶部的搜索框。2.在搜索页中部的搜素历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索历史，点击这个垃圾桶按钮。3. 在弹出的“删除全部搜索历史”弹窗中，点击“全部删除”按钮。 按照以上步骤清空搜索历史,"{""xpath"": [''' //*[contains(@text, ""全部删除"") and bbox_contains_point(@bounds,$point) ]  and //*[contains(@text, ""全部搜索历史"") ]  ''']}###{""xpath"": [''' //*[ contains(@resource-id, ""id/search_src_text"") ]  and //*[contains(@text, ""bilibili热搜"")] and not(//*[contains(@text, ""搜索历史"")] ) ''' ]}"
132,bili_17,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,关注,easy,4,在哔哩哔哩，找到我关注的人的动态，并给里面的动态点赞,"{""xpath"": [''' //*[contains(@text, ""关注"")  and contains(@resource-id, ""id/title"")   ] and //*[contains(@resource-id, ""id/dy_card_like"") and bbox_contains_point(@bounds,$point)]''' ]}",Need,4,我需要取消对关注的人的动态的点赞。步骤如下：1. 打开哔哩哔哩，点击首页底部的动态按钮。 2. 在动态页面查看第一条动态。它的右下方有一个大拇指形状的点赞按钮。如果按钮被选中，代表我已对这条动态点赞。点击这个点赞按钮以取消。如果按钮没有被选中，说明点赞已取消，任务完成。,"{""xpath"": ['''//*[contains(@text, ""关注"")  and contains(@resource-id, ""title"") ] ''' ]}"
0,bili_18,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,会员购,medium,6,在B站会员购中搜索哆啦A梦,"{""xpath"": ['''//*[contains(@text, ""会员购"")   and contains(@resource-id, ""id/new_title_text"")   ]'''  , '''//*[(contains(@text, ""哆啦A梦"") or contains(@text, ""哆啦a梦""))  and contains(@class, ""EditText"")   ]''' ]}",Search,6,我需要清空哔哩哔哩会员购页面的搜索历史，步骤如下：1. 打开哔哩哔哩，点击首页底部的会员购按钮。 2. 在会员购页面点击顶部的搜索框。3.如果在搜索页中看到有搜素历史一栏，它的右侧有一个垃圾桶按钮，这代表着清空搜索历史，点击这个垃圾桶按钮。如果没有发现搜索历史这一栏，说明历史已被清空，任务完成。,"{""xpath"": [''' //*[contains(@resource-id, ""search_history_clear_iv"") and bbox_contains_point(@bounds,$point) ] ''']}###{""xpath"": [''' //*[contains(@text, ""搜索发现"") ]  and //*[contains(@text, ""热搜商品榜"") ]  ''']}"
0,bili_27,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,设置,hard,9,打开B站私信智能拦截,"{""xpath"": ['''//*[contains(@text, ""消息设置"") and contains(@text, ""消息提醒"") and contains(@text, ""私信智能拦截"")] ''']}",Need,9,我需要关闭B站的私信智能拦截。步骤如下：1. 打开哔哩哔哩，点击首页底部的“我的”按钮。 2. 进入“我的”页面，如果页面背景是黑色的，点击右上角的太阳按钮切换到日间模式。如果页面背景是白色的，前往步骤3。3.在“我的”页面向上滑动，直到露出更多服务底部的“设置”按钮。4. 点击设置按钮，进入设置页面。 5. 在设置页面点击“消息设置”按钮，进入消息设置页面。6. 在消息设置页面，如果私信智能拦截右侧的滑块是打开的，点击该滑块以关闭私信智能拦截。如果滑块是关闭的，说明私信智能拦截已关闭，任务完成。,"{""xpath"": ['''//*[contains(@text, ""消息设置"")] and //*[contains(@text, ""消息提醒"")] and //*[contains(@text, ""私信智能拦截"")] ''']}"
0,bili_28,bili,哔哩哔哩,tv.danmaku.bili/tv.danmaku.bili.MainActivityV2,设置,hard,11,打开B站定时关闭,"{""xpath"": ['''//*[contains(@class, ""ViewGroup"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""定时关闭"") and contains(@resource-id, ""id/title"")])]''' , ''' //*[contains(@text, ""定时关闭"") ]  and //*[@checkable=""true"" and @checked=""true"" and (preceding-sibling::*[contains(@text, ""自定义"") or contains(@text, ""分钟"")])]''' ]}",Need,11,我需要关掉B站的定时关闭。步骤如下：1. 打开哔哩哔哩，点击首页底部的“我的”按钮。 2. 在“我的”页面向上滑动，直到露出更多服务底部的设置按钮。3. 点击设置按钮，进入设置页面。 4. 在设置页面向上滑动，直到露出“定时关闭”按钮。 5. 点击“定时关闭”按钮，进入“定时关闭”页面。6. 在“定时关闭”页面，选中不开启选项。如果本来就选中了“不开启”选项，说明定时关闭已关掉，任务完成。,"{""xpath"": [ ''' //*[contains(@text, ""定时关闭"") ]  and //*[@checkable=""true"" and @checked=""true"" and (preceding-sibling::*[contains(@text, ""不开启"")])]''' ]}###{""xpath"": [ '''  //*[contains(@text, ""定时关闭"")  and (following-sibling::*[contains(@text, ""不开启"")])]''' ]}"
,neteasemusic_7,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,medium,5,网易云查查包含七里香的歌单有哪些,"{""xpath"": ['''//*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""歌单"") ] ) ]  and //*[contains(@text, ""七里香"") ]  ''']}",Search,5,我需要清空网易云的搜索记录。步骤如下：1. 打开网易云音乐，点击首页顶部的搜索框。2.在搜索页中的搜素历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索历史，点击这个垃圾桶按钮。3. 在弹出的“确定要清空历史记录吗”的弹窗中，点击“清空”按钮。 按照以上步骤清空搜索历史,"{""xpath"": [''' //*[contains(@text, ""清空历史记录"") ]  and //*[contains(@text, ""清空"")  and (bbox_contains_point(../@bounds,$point) )] ''']}"
,neteasemusic_8,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,搜索,hard,6,在网易云里找到歌手周杰伦的个人主页并关注他,"{""xpath"": ['''//*[contains(@text, ""周杰伦"")  and contains(@resource-id, ""id/nickname"") ]   and //*[contains(@text, ""已关注"")  and contains(@resource-id, ""id/followBtn"")]  ''' ]}",Need,6,我需要取消对歌手周杰伦的关注。步骤如下：1. 打开网易云音乐，点击首页顶部的搜索框。2.在搜索框中输入周杰伦，进行搜索。3. 搜索页顶部会显示周杰伦的头像和基本信息。如果头像右侧显示乐迷团，说明我已经关注了他，需要进入它的个人主页取消关注，点击周杰伦的头像区域进入他的主页。如果右侧显示“关注”，说明我没有关注他，任务完成。4. 如果进入了周杰伦的个人主页，基本信息下方有一个“已关注”按钮，点击“已关注”按钮以打开“取消关注”弹窗。这里如果看到的是“关注”按钮说明任务完成。 5. 在弹出的“取消关注”的弹窗中，点击“仍然取消”按钮，任务完成。 按照以上步骤取消对歌手周杰伦的关注。,"{""xpath"": ['''//*[contains(@text, ""周杰伦"") and contains(@resource-id, ""id/nickname"") ] and //*[@text=""关注"" and contains(@resource-id, ""id/followBtn"")] ''' ]} "
,neteasemusic_19,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,笔记,hard,7,打开网易云发布笔记“逢考必过”,"{""xpath"": ['''//*[contains(@class, ""view.ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""发布"") ] ) ]  and //*[contains(@text, ""逢考必过"")  and contains(@class, ""EditText"") ]  ''']}",Need,7,我需要删除之前发布的笔记。 步骤如下：1. 打开网易云音乐，点击首页底部的笔记按钮。2.在笔记页中点击顶部的关注按钮。3. 如果我的关注里面第一条的笔记内容是“逢考必过”，那是我自己发的，需要删除。如果第一条不是“逢考必过”，说明笔记已删除，任务完成。4. 如果需要删除笔记，点击该笔记右下角的三个点形状的按钮，这个按钮表示“更多功能”，点击后弹出一个包含分享、编辑、删除的弹窗。 5. 在弹窗中点击删除按钮，弹出一个删除笔记弹窗。 6. 在删除笔记弹窗中点击“直接删除”按钮，弹出“删除此动态”弹窗。 7. 在“删除此动态弹窗”点击删除按钮，任务完成。 按照以上步骤删除之前发布的笔记。,"{""xpath"": [''' //*[contains(@text, ""删除"") and bbox_contains_point(@bounds,$point) ]  and //*[contains(@text, ""删除此动态"") ]  ''']}###{""xpath"": [''' //*[contains(@text, ""笔记"") and @selected=""true""]  and   //*[contains(@text, ""关注"") and @selected=""true""] ''' ]}"
,neteasemusic_21,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,hard,6,打开网易云编辑我的资料，设置性别为女,"{""xpath"": ['''//*[contains(@text, ""我的资料"") ]   and   //*[contains(@text, ""性别"") ]  and   //*[contains(@text, ""女"") ] ''' ]}",Need,6,"打开网易云编辑我的资料，设置性别为男。步骤如下：1. 打开网易云音乐，点击首页底部的“我的”按钮。2.在“我的”页中可以看到我的头像和一些个人信息，如昵称,签名和性别。点击昵称，进入我的资料页。3. 在我的资料页中点击性别右侧的箭头按钮，弹出设置性别的弹窗。4. 在弹窗中选择“男”。按照以上步骤将我的性别设置为男。","{""xpath"": ['''//*[contains(@text, ""我的资料"") ]   and   //*[contains(@text, ""性别"") ]  and   //*[contains(@text, ""男"") ] ''' ]}"
,neteasemusic_22,neteasemusic,网易云音乐,com.netease.cloudmusic/.activity.IconChangeDefaultAlias,我的,hard,6,打开网易云编辑我的资料，设置简介为“事已至此，先睡觉吧”,"{""xpath"": ['''//*[contains(@text, ""我的资料"") ]   and  //*[contains(@text, ""简介"")]  and   //*[contains(@text, ""事已至此，先睡觉吧"") ]   ''' ]}",Need,16,"打开网易云编辑我的资料，删除我的简介。步骤如下：1. 打开网易云音乐，点击首页底部的“我的”按钮。2.在“我的”页中可以看到我的头像和一些个人信息，如昵称,签名和性别。点击昵称，进入我的资料页。3. 在我的资料页中点击简介右侧的箭头按钮，进入“编辑简介”页面。4. 在“编辑简介”页面中，通过点击输入法的删除按钮或这点击“clear Text”按钮删去已有的简介,让编辑框显示""请输入个人介绍...""的提示文字。 5. 点击右上角的完成按钮。按照以上步骤将删除我的简介","{""xpath"": ['''//*[contains(@text, ""我的资料"") ]   and  //*[contains(@text, ""简介"")]  and   //*[contains(@text, ""介绍一下自己吧"") ]   ''' ]}"
