"task_id","task_identifier","task_app","task_app_CHN","adb_home_page","功能点","真机/模拟器","level（easy步数少<5步，是APP的基础操作,主页一眼就能看到，medium步数较多,但每一步都能直接看到。或是需要探索一下但步数特别少(<4)，hard经过的一些功能需要探索才能发现）","golden_steps","goal","key_nodes","Reset","Unnamed: 15","uitars1.5_apps2025_0917","Unnamed: 17","Unnamed: 19"
"0","bili_0","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","搜索","","easy","4","打开B站搜索喜羊羊与灰太狼","{""xpath"": ['''//*[contains(@text, ""喜羊羊与灰太狼"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''' ]}","Search","","bili_0: SR","",""
"0","bili_1","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","搜索","","easy","4","打开B站搜索演员沈腾","{""xpath"": ['''//*[contains(@text, ""沈腾"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''' ]}","Search","","bili_1: SR","",""
"0","bili_2","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","搜索","","easy","4","打开B站搜索王者荣耀官方赛事","{""xpath"": ['''//*[contains(@text, ""王者荣耀"")  and contains(@text, ""赛事"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")   ]''' ]}","Search","","bili_2: SR","",""
"0","bili_3","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","搜索","","medium","5","打开B站搜索李健，看看图文栏下有哪些图片","{""xpath"": ['''//*[contains(@text, ""李健"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")]   and   //*[contains(@text, ""图文"") and @selected=""true""] ''' ]}","Search","","bili_3: HardFail","wrong",""
"0","bili_4","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","搜索","","easy","4","打开bilibili热搜榜单","{""xpath"": ['''//*[contains(@text, ""B站热搜"")  and contains(@class, ""WebView"")] ''' ]}###{""xpath"": ['''//*[contains(@resource-id, ""container_entrance"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""完整榜单"") ])   and (preceding-sibling::*[contains(@text, ""热搜"") ])   ]   ''']}","","","bili_4: SR","",""
"0","bili_5","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","消息","","easy","4","打开B站查看回复我的消息","{""xpath"": ['''//*[contains(@text, ""回复"")  and bbox_contains_point(../@bounds,$point)  ]  ''']}","","","bili_5: SR","fix",""
"0","bili_6","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","消息","","easy","4","打开B站消息查看收到的赞","{""xpath"": ['''//*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""收到的赞"") ]  or child::*[contains(@text, ""收到喜欢"") ]  )   ] ''']}   ","","","bili_6: SR","",""
"0","bili_7","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","消息","","medium","5","打开B站消息,一键已读所有消息","{""xpath"": ['''//*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""清除"") ] ) ]  and  //*[contains(@text, ""一键已读"")] and //*[contains(@text, ""消息"")]    ''']}","","","bili_7: Overdue","前面清除搜索框耗费太多步了",""
"736","bili_8","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","直播","","hard","6","打开一个英雄联盟的哔哩哔哩直播间","{""xpath"": ['''//*[contains(@class, ""RelativeLayout"") and (child::*[contains(@text, ""英雄联盟"") and contains(@resource-id, ""subtitle"") ] ) ]   ''']} ###{""xpath"": ['''   //*[contains(@text, ""直播"") and contains(@resource-id, ""id/tab_title"") and @selected=""true""]   and  //*[contains(@class, ""LinearLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""英雄联盟"") and contains(@resource-id, ""id/name"") ] ) ]    ''' ]}###{""xpath"": ['''   //*[contains(@text, ""直播"") and contains(@resource-id, ""id/tab_title"") and @selected=""true""]   and //*[contains(@text, ""英雄联盟"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")]  and  //*[contains(@text, ""英雄联盟"") and contains(@resource-id, ""subtitle"")]    ''' ]}###{""xpath"": ['''   //*[contains(@text, ""英雄联盟"")  and contains(@resource-id, ""search"") and contains(@resource-id, ""text"")]     ''', '''   //*[ contains(@resource-id, ""id/live_send"") or contains(@resource-id, ""id/watched_like_switcher"")]     ''' ]}","Search","","bili_8: SR","fix",""
"0","bili_9","bili","哔哩哔哩","tv.danmaku.bili/tv.danmaku.bili.MainActivityV2","热门","","easy","4","查看B站热门的排行榜","{""xpath"": ['''//*[contains(@text, ""排行榜"")] and //*[contains(@text, ""全站"")  and contains(@resource-id, ""tab_title"") ] and //*[contains(@text, ""番剧"")  and contains(@resource-id, ""tab_title"") ] ''' ]}","","","bili_9: HardFail","莫名其妙的在删搜索框里面的字符",""
